Cluster ‐ 1,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
411,Mori Gate (T),Ambedkar Nagar (Term.),1. Mori Gate 2. Red Fort 3. Delhi Gate 4. Supreme Court 5. Sunder Ngr / Golf Club 6. Ps Nizamuddin 7. Ashram 8. Snp Depot 9. Punj Sons 10. Dda Flats Kalkaji 11. Hamdard Ngr 12. A.N. Terminal.,14,23,10,18,11,7
416,Lajpat Nagar,Ambedkar Nagar (Term.),1.  Jal  Vihar  2.  Lajpat  Ngr  3.  Mool  Chand  Hosp  4.  Sant  Ngr5.  Kalkaji   6.  Dda  Flats  Kalkaji  7.  Hamdrd  Ngr  8. A.N.Terminal,1,13.4,15,7,4,3
417,Red Fort,Mehrauli,1. Red Fort 2. Delhi Gate 3. Supreme Court 4. Sunder Ngr/Golf Club 5. Ps Nizamuddin 6. Ashram 7. Snp Depot 8. Nehru Place 9. O.S.Communication 10. Sheikh Sarai Ph‐Ii11. Khirki Village 12. Pts 13. Mehrauli .,0,15.8,15,8,5,3
419,Old Delhi Rly.Station,Ambedkar Nagar (Term.),1. Rly.Stn 2. Red Fort 3. Delhi Gate 4. Supreme Court 5. Sunder Ngr 6. Pant Ngr 7. Mool Chand Hospital 8. Sri Fort Road 9. Saikh Sarai 10. A.N.Terminal,32,17.8,5,28,17,11
423,Mori Gate(T),Devli Village,"1. Mori Gate(T) 2. Yamuna Bazar 3. Shanti Vana 4. Delhi Gate5. Supreme Court 6. Sunder Ngr 7. Pant Ngr 8. Mool
Cand 9. Sri Fort Road 10. Saikh Sarai Ph‐Ii 11. A.N.Sec‐4 12. Deoli Vill.",27,23.3,5,37,22,15
427,Nizamuddin Rly.Station,Mehrauli,"1.Nizamuddin  Rly.Stn  2.  Ashram  3.  Od‐I  4.  Punj  Sons5.  Kalkaji  6.  O.S.  Communication  7.  Sheikh  Sarai  Ph‐Ii  8.
A.N.Terml 9. J‐Blk.Saket 10. Sadlajab 11. Lado Sarai12. Mahreauli",18,21.9,10,18,11,7
440,N.D.Rly.Station Gate No.2,Ambedkar Nagar (Term.),1.  N.D.Rly.Station  Gate‐I  2.  Scindia  House  3.  Baroda  House  4.  Shahjahan  Road  5.  Ravindra  Ngr  6.  Lodhi  Cly.  7. Defence Cly. 8. Central School 9. Sant Ngr 10. Kalkaji 11. Dda Flats Kalkaji 12. Hamdard Ngr 13. A.N. Terminal.,19,19,10,15,9,6
446,Mori Gate Trml,Greater Kailash Part-2,"1. Mori Gate 2. Yamuna Bzr 3. Shanti Van 4. Delhi Gate 5. Supreme Court 6. Sunder Ngr 7. Pant Ngr 8. Mckr Hosp
9. Archna Cinema 10. Sant Ngr 11. Kalkaji 12. Dda Flats Kalkaji 13 .Gr. Kailash‐Ii.",0,23.5,15,13,8,5
462,Mori Gate Trml,Maidan Garhi,"1. Mori Gate 2. Red Fort 3. Delhi Gate 4. Supreme Court 5. Sunder Ngr 6. Pant Ngr 7. Mool Chand  Hosp 8. Sri Fort
9. Saikh Sarai Ph‐Ii 10. Pushap Vihar Sec.3 11. J.Block Saket 12. Neb Sarai 13. Maidan Garhi .",0,22.5,15,12,7,5
463,Okhla Enclave.,Mehrauli,"1. Okhla Encl 2. Okhla 3. Holi Family Hosp 4. Modi Floor Mill5. Punj Sons 6. Kalkaji Dda Flats 7. Hamdard Nagar8.
A.N.Terml 9. Said‐Ul‐Zaib  10. Lado Sarai 11. Mehrauli.",4,15.3,15,8,5,3
469,Ambedkar Nagar (Term.),Anand Vihar(Term),"1.  Anand  Vihar  Trml  2.  Ppg  Depot  3.  Shakarpur  4.  Mother  Dairy  5.  Pushta  Xing  6.  East Road  Bridge7.  Sarai Kale
Khan 8. Ashram 9. Od‐I 10. Punj Sons 11.Dda Flats Kalkaji 12. Hamdard Ngr 13. A.N.Terminal",32,28,5,45,27,18
521,"Ambedkar Nagar Sec 5
(Dakshin Puri)",Rajinder nagar mkt,AN‐  sec5  Sheikh  sarai‐II sirifort rd  mckr  hospital  defence  cly  lodhi  cly  prithviraj  rd.  national  museum  shivaji std. mandir marg pusa rd petrol pump / a.s.rd rajinder mkt.,0,20.5,15,11,7,4
522,Ambedkar Nagar (Term.),Arya samaj Rd,"AN terminal Sheikh sarai‐II sirifort rd mckr hospital defence cly lodhi cly prithviraj rd. national museum shivaji std.
mandir marg pusa rd petrol pump / a.s.rd rajinder mkt.",27,19.3,5,31,19,12
534,Anand Vihar (Term),Mehrauli,"1.  Anand  Vihar(T)  2.  Ppg  3.   Balco  Apptt.4.  Mother  Dairy  5.  Pusta  Xing  6.  East  Rd.  Bridge  7.  Sarai  Kalekhan8.
Maharani  Bagh  9.  Holi Family  10. Modi  Mills 11.  N.P.Trml12. O.S.Communication  13. Seikh  Sarai  Ph‐Ii  14. Khirki Vill.15. Pts 16. Mehrauli",43,28,5,45,27,18
526,Kamla Market,Hamdard Nagar,"1. Kamla Mkt 2. Sc.House 3. National Musium 4. P.R.Rd,5. Lodhi Cly 6. Defence Cly 7. Mool Chand 8. Sri Fort Rd,9.
Saikh Sarai Ph‐Ii 10. A.N.Terml 11. Hamdard Nagar",1,21.4,15,11,7,4
450,Anand Parbat,Jal           Vihar (Term),"1. Anand Parbat 2. Db Gupta Mkt 3. Ps Pahar Ganj 4. Sc.House 5. Baroda House 6. Shahjahn Road 7. Bharti Ngr 8.
Defence Cly 9. Mckr Hosp 10. Lajpat Ngr  Double Story11. Jal Vihar Terminal.",5,18,15,9,6,3
56,New Delhi Rly.Stn Gate No. 1,CPWD Colony Vasant Vihar,"1.  N.D.Rly. Station  Gate  No‐1  2. Scindia  House  3.  Baroda  House  4.  Shahjahan  Road  5.  Bharti  Ngr  6.  Lodhi  Cly 7. S.J.Air Port 8. I.N.A.Cly. 9. S.N.Depot 10. Mohd. Pur 11. R.K.Puram S‐I 12. R.K.Puram S‐6. 13. C.P.W.D.Cly. Vasant
Vihar",0,21.6,15,12,7,5
66,JawaharLal Nehru Stadium,Vasant Kunj Sec.C-9,"1. Jln. Stadium 2. Lodhi Cly. 3. S.J.Air Port 4. S.J. Hospital 5. Mohmand Pur 6. Rk Puram Sec‐I 7. S.M.Temple 8. Vv
Depot 9. Power House 10. Manav Sthali 11. Vasant Kunj C‐9.",0,16.2,15,9,5,4
602,Red Fort,Vasant Kunj Sec C-9,"1. Red Fort 2. Delhi Gate 3. Vivekanand Marg 4. Jant. Manter  5. Krishi Bhawan 6. P.S Tuglak Rd.7. Race Course 8. Viney Marg 9. Moti Bagh 10. R.K.Puram ‐I 11. S.M. Temple 12. Cpwd Cly Vasant Vihar 13. Power House 14. Manav
Sathli School 15. Vasant Kunj C‐9",0,30,15,16,10,6
604,N.D.Rly.Station Gate No.2,Vasant Kunj Sec.A,"1.  N.D.  Rly  Stn  Gate  No‐2.  2.  Palika  Kend.  3.  Kirishi  Bhawan  4.  Teen  Murti  5.  Ussr  Ambessay  6.  Moti  Bagh ‐I   7. S.M.Temple  8.  V.V.  Depot   9.  Power  House  10  .  Manavsathilischool  11.  B‐  3  Vasant  Kunj  12.  Vasant  Kunj  Sect‐I
School 11. B‐ 3 Vasant Kunj 12. Vasant Kunj Sect‐I",27,21.1,5,34,20,14
605,Mori Gate(Term),Vasant Kunj Sec C-9,"1.  Mori  Gate  T.  2.  Red  Fort  3.  Delhi  Gate  4.  Supreme  Court  5.  Shahjanh  Rd.  Prithvi  Raj  Rd.7.  S.J.  Air  Port  8.  S.J. Hospital9. Iit Gate 10. Quitab Enclave 11. Jnu Sect‐13. 12. B‐3 V. Kunj 13. Manav Sathli School 14, Vasant Kunj C‐9",0,28.5,15,15,9,6
606,Vasant Kunj Sect- A.,NizamuDdin Rly. STN.,"1.  Nizamuddin   2.  P.S  Nizamuddin   3.  Jnu  4.  Defence  Cly.   5.  A.I.I.M.S   6.  Mohmand  Pur7.  R.K.  Puram  ‐I   8.  S.M.
Tampal 9. V V Depot10. Hill Area  11. Manav Sthali School 12. Vasant Kunj Sec‐A",0,23.1,15,12,7,5
610,Anand Parbat,R.K. Puram Sec- 1,"1. Anand Parvat 2. D.B. Gupta Mkt.3. Mandir Marg.4. Rml Hosp.. Kend T. 6. Kirshi Bhawan 7. P.S Tuglak Rd. 8. Race
Course9. Viney Marg 10. S.N. Depot 11. S.J. Enclave 12. R.K. Sect‐I",16,21.5,10,17,10,7
616,Kend.Terminal,Vasant Kunj Sec.-A,"1. Kend T. 2. Krishi Bhawan 3. Ps. Tuglak Rd. 4. S.J. Air Port 5.Ina Mkt 6. S.N. Depot 7. Mohd Pur 8. R.K.Puram –I 9.
N.I.H.F.W 10. B‐3 Vasant Kunj 11. Vasant Kunj Sect‐A",0,21.3,15,11,7,4
620,Shivaji Stadium,Hauz Khas (Term),"1. Shivaji Std.2. Palika Kend 3. Kirshi Bhawan 4. Teen  Murti 5. Ussr Embassay 6. Moti Bagh ‐I 7. S.M. Temple 8. Iit
Hostel9. Hauz Khas Terminal",16,15,10,12,7,5
615,Minto Road (Term),Poorvanchal Hostel,"1. Minto Rd T. 2. Scindia House/Merina 3. National Museum 4. Pirthvi Raj Rd. 5. S.J. Air Port 6. Ina Cly Mkt. 7. S.N.
Depot 8. Mohd Pur 9.Iit Hostel 10. Munirka 11. Godavari Hostel 12.Purvanchal Hostel",15,18.5,10,15,9,6
641,Bara Tooti,CPWD Colony Vasant Vihar,1. Bara Tooti 2. Chitra Gupta Rd. 3. Shivaji Stadium 4. Palika Kend 5.Krishi Bhawan 6. Teen Murti 7. Ussr Emby8. Moti Bagh ‐I 9. R.K. Puram ‐I 10. S.M. Temple 11. Modern Sch.12. C.P.W.D Cly Vasant Vihar,0,15.7,15,8,5,3
632,Mori Gate Trml.,Nanak Pura Comm.Centre,1.  Mori  Gate  T.  2.  Red  Fort  3.  Delhi  Gate  4.  Mandi  House  5.  Regal  6.  Kirshi  Bhawan   7.  Teen  Murti  8.  Ussr Embassay9.Moti Bagh ‐I 10. Nanak Pura Community Centre,0,19.2,15,10,6,4
666,"Purvanchal
Hostel","Purvanchal
Hostel","Purvanchal Hostel, Godavari Hostel, JNU, RK Puram-1, Nauroji Ngr, SJ Hosp, IIT Gate, Qutab Enclav, JNU,
Godavari Hostel, Purvanchal Hostel",0,18.9,15,10,6,4
430,Kend.Terminal,"Badarpur Bdr. (New M. B.
Road)","1. Kend. Terminal 2. Krishi Bhawan 3. Shahjahan Road4. Bharti Ngr 5. Cgo Complex (Ispat Bhawan ) 6. Pant Ngr .7. Mckr Hospital 8. Sant Ngr 9. Kalka Ji 10. Dda Flats Kalkaji 11. Hamdard Ngr 12. Tughalkabad Village 13. Prehlad Pur
14. Badar Pur Bdr.",0,26,15,14,8,6
581,Kend.Terminal,Devli Village,"1. Kend.Terminal 2. Krishi Bhawan 3.Ps Tuglak Road 4. S.J.Airport 5. S.J.Hospital 6. Iit Gate 7. Pts 8. Khirki Village9.
Saikh Sarai Ph‐Ii 10. A.Ngr Terminal 11.Devli Vill.",11,15.7,10,13,8,5
511,Badarpur Bdr. (New M. B. Road),Dhaula Kuan,1. Badarpur Border 2. Prehladpur 3. Tuglakabad Vill.4. Hamdard Ngr 5. Dda Flats Kalkaji 6. Kalkaji 7. O.S.Comm.8. Swami Ngr 9. Panchsheel Encl. 10. I I T Gate  11. Qutab Encl12. Jnu 13. R.K.Puram‐I 14. Moti Bagh 15. Dhaula Kuan,19,28.2,10,23,14,9
,,,Total Buses,327,,,547,330,217
Cluster ‐ 2,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
53,R.K.Puram -I,Nand Nagri CC,"1.  R.K.Puram  2.  Mohd.  Pur  3.S.N.  Depot  4.INA  Colony  5,  S.J.  Airport   6.  Prithvi  Raj  Road  7.  Shahjan  Road  8. Supreme  Court  9.Delhi  Gate  10.  Shanit  Van  11.Jamma  Bazar  12.  USBT  (R.Road).  13.  Raksha  Vigyan  Kendrra  14. Majnu Ka Tila 15.Nanak Sar 16 Bhajan Pura 17. C‐4 Yamuna Vihar 18. Nand Nagri Community Centre",0,33,15,18,11,7
244,Indra Puri,Nehru Place T,"1. Indira Puri Loni 2. Ps Indira Puri 3. Johri Pur Xing 4. C‐4 Yamuna Vihar 5. Bhajan Pura 6. Nanak Sar 7. Majnu Ka
Tila 8. Raksha Vigyan Kend.9.  Isbt 10. Jamuna Bzr 11. Shanti Van 12. Ito R/Rd 13. P. Maidan 14. Sunder Ngr 15. Pant Ngr 16. Mckr Hosp.17. Sant Ngr 18. Nehru Place Terml.",0,32.8,15,17,10,7
305,Malvia Ngr,N. Seema Puri,"1. Malviya Ngr 2. Punch Sheel Club 3. Khel Gaon 4. Deffence Cly 5. Bharti Ngr 6. Shahjahan Road 7. Supreme Court
8. Ito Agcr 9. Rainy Well 10. Shaker Pur  11. Har Govind Enclave 12. Yojna Vihar 13. Surya Ngr 14. New Seema Puri.",0,29,15,15,9,6
356,Mayur Vihar Ph- 3,Mehrauli,"1. Mayur Vihar Ph‐Iii 2. Kalyan Puri 3. 13‐Blk Trilok Pur 4. Mother Dairy 5. Rainy Well 6. I.T.O.Ring Road 7. Pragati Maidan 8. Sunder Ngr 9. Pant Ngr 10. Mckr Hospl.11. Siri Fort Road 12. Sheikh Sarai Ph‐Ii 13. A.N. Terminal 14. J‐
Blk Saket 15. Saidla Jeb 16. Lado Sarai 17. Mehrauli .",0,32.2,15,17,10,7
375,Nehru Place(T),Dilshad Garden,"1.  Nehru  Place(T)  2.  Sant  Ngr  3.  M.C.K.R.Hospital  4.  Defence  Coly  5.  Bharti  Ngr  6.  Shahjahan  Road  7.  Supreme
Court 8. Ito(Agcr) 9. Rainy Well 10. Shakar Pur11. Hargobind Enclave 12. Yojna Vihar 13. Surya Ngr14. Police Post Dilshad Garden 15. Dilshad Garden",14,30.3,10,24,14,10
406,Sarita Vihar,Dhaula Kuan,"1. Dh. Kuan 2. Moti Bagh 3. Narouji Ngr 4. Aiims 5. Andrews Ganj6. Sant Ngr 7. Modi Flour Mill 8. Okhla Tank 9.
Sarita Vihar",0,16.9,15,9,5,4
412,Yamuna Vihar C 4.,Nehru Place.,1. Nehru Place 2. Sant Ngr 3. Mckr Hospital 4. Pant Ngr5. Sunder Ngr 6. Pragati Maidan 7. Ito Ring Road 8. Shanti Van 9. Yamuna Bzr 10. Isbt 11. Old Sectt 12. B.R. Hospital 13. Nanak Sar 14. Bhajan Pura 15. C‐4 Yamuna Vihar.,0,27.5,15,14,9,5
444,Nehru Place,Nehru Place,"1. Nehru Place 2. Punj Sons 3. Dda Flats Kalka Ji 4.Gr. Kailash‐Ii 5. Savitri Cinema 6. Swami Ngr 7. Malvia Ngr  8. Panch Sheel Club 9. Iit Gate 10. Sj Hospl. 11. Sj Air Port12. Lodhi Cly 13. Defence Cly 14. Central School 15. Snt Ngr
16.Nehru Place",0,25,15,13,8,5
456,Janttar Mantar,Humdard Ngr,"1.  Jantar  Mantar  2.  Krishi  Bhawan  3.Shahjahan  Rd  4.  Bharti  Ngr  5.  Defence  Cly  6.  Khel  Gaon  7.  Begam  Pur  8.
Khirki9. Sheikh Sarai‐I 10. A N Terminal.Hamdard Nagar",0,21.5,15,11,7,4
490,Arya Smaj Road,DDA         Flats Kalkaji Extn,1. Arya Smaj Road/Pusa Rd P.P. 2. Mandir Marg 3.Regal 4.Krishi Bhawan5. Baroda House/India Gate 6. Golf Club 7. Pant Ngr 8. Mool Chand Hosp 9. Sri Fortroad10. Savitri Cinema 11. C.R.Park 12. Dda Flats Kalkaji,11,21.5,10,17,10,7
491,Nehru Place(T),NOIDA Ph-II,"1. Nehru Place 2. Snp Depot 3. Ashram 4. Sarai Kale Khan 5. Road Bridge (E) 6. Pustaa Xing 7 .Mayur Vihar Xing ‐I 8 
.Hindon Regulator 9 .Naya Bans 10. Noida Sec‐28/29 11. Noida Sec‐37 12. Agha Pur 13. Sahni Farm 14. Bhangel15. Nepzgarh No‐2 16. Noida Ph‐Ii.",7,28,12,19,11,8
492,Nehru Place(T),Noida Sec.62,"1. Nehru Place 2. Snp Depot 3. Ashram 4. Sarai Kale Khan 5. Road Bridge (E) 6. Pussta Xing 7. Mayur Vihar‐I 8. 13‐ Blk Trilok Puri 9. Kalyann Puri 10. Mayur Vihar‐Iii11. Jhund Pur 12. Noida Sec‐22 H Blk 13. Khanda Cly 14. Police
Post Sec‐60 15. Noida Sec‐62.",15,24.8,5,40,24,16
514,RK   Puram   Sec 1,K.J.Extn.DDA,"1. Rk Puram ‐I 2. Mohd Pur 3. Sn Depot 4. Ps Sarojini Ngr 5. Sj Hosp 6. Iit Gate 7. Punch Sheel Club 8. F‐Blk Malvia
Ngr9. Swaomi Ngr 10. Os Communication 11. Kalka Ji12. Hill Area 13. Kalkaji Extn Dda Flats.",0,15.5,15,8,5,3
531,Arya         Samaj Road,Sadiq Nagar,"1. A.S. Road 2.  Mandir Marg 3.  Regal 4. Krishi Bhawan ,5. Sahajan Rd 6.  Prithvi Raj Rd. 7. S.J. Air  Port 8. Aiims,9.
Andrews Ganj 10.  K.N.College 11. Sadiq Ngr",0,21.5,15,11,7,4
536,R.K.Puram -1,Chhaterpur Ext.,"1.R.K.  Puram  2.  Mohd  Pur  3.  S.N.Depot  4.  P.S.  Sarojini  Nagar  5.S.N.S.J.Hospital  6.  I.I.T.  Gate.  7.  PTS.  8.Qutab
9.Anadheria More 10. Chhatar Pur Extn.",9,14.2,12,9,6,3
544,R.K.Puran -I,Badarpur Border,"1.R.K.Puram Sect‐1 2. Mohnd Pur 3. S.N. Depot 4. P.S.Sarojini 5. A.I.I.M.S.6.Andrews Ganj.7. Kamla Nehru College
8.Sriford Road 9.Sheikh Sarai ‐I 10. Ambedkar Ngr 11.Hamdard 12.Tuglakbad Village 13. Prehlad Pur 14 Badar Pur Border.",27,25.8,5,41,25,16
769,Nehru Place,Rohini Sec.16,"1. Nehru Place 2. Sant Nagar 3. Andrews Ganj 4. Aiims 5. Narouji Nagar 6. Moti bagh 7. Dhaula Kuan 8 . R.R.Lines 9. Brar  sqare  10.  Naraina  Village  11.Mayapuri  chowk  12.  Rajagarden  13.  Punjabi  bagh  club  14.  Punjabi  bagh  15. Madipur jj cly. 16 Peeragarhi 17. Mangolpur school 18. Rohini Sec‐3 19. Rohini Sec 7&8 20 . Esi hospital 21. Rohini
sec‐16",2,36.3,15,19,12,7
974,Pira Garhi Depot,Hamdard Nagar,"1. Peera Garhi Depot 2. Madi pur JJ Cly. 3. P. Bagh(T) 4. Punjabi bagh Club 5. Raja Garden 6. Maya puri Chowk 7. Naraina Village 8. Brar Square 9. Rr line 10. Dhaula Kuan 11. Moti Bagh 12. Rk Puram -I 13. Jnu 14. Qutub Enclave
15. Pts Cly. 16. Saket Mkt 17. An(T) 18. hamdard Nagar",0,30.4,15,16,10,6
984,Nehru Place (T),Rohini Sec-16,"1. Nehru Place (T)  2.  O.S Comnucation  3. Siri Fort Road4. Kamla Nehru Collage  5. A.I.I.M.S  6. Narouji Ngr.7. Moti Bagh  8. Dh. Kuan  9. Rr Line  10. Brar Squre11. Naraina Vill. 12. Mp Chowk  13. Raja Garden14. Punjabi Bagh Club
15. Punjabi Bagh (T)16. Wp Depot  17. Jd Blk. Pitam Pura  18. Sec‐7&8 Xing19. Vidhya Vihar Marg  20. Pocket 2d‐15
Rohini21. Rohini Sec‐16",9,39.2,12,26,16,10
